algorithm,rank,node_id,degree,score
hits_hub,1,548091,549.0,0.018705604961001068
hits_hub,2,436020,197.0,0.01363450525567728
hits_hub,3,424153,127.0,0.008831421269749203
hits_hub,4,7308,98.0,0.00835936026203838
hits_hub,5,410716,108.0,0.008182173920168278
hits_hub,6,27832,111.0,0.007441358173970084
hits_hub,7,503706,82.0,0.006830985765975686
hits_hub,8,463355,86.0,0.006749279280114001
hits_hub,9,398826,64.0,0.005688403963900499
hits_hub,10,181204,58.0,0.003372918997997856
hits_authority,1,548091,549.0,0.018832926269747165
hits_authority,2,436020,197.0,0.013636351701941545
hits_authority,3,424153,127.0,0.008832618541961663
hits_authority,4,7308,98.0,0.00836049184249384
hits_authority,5,410716,108.0,0.008183281376603495
hits_authority,6,27832,111.0,0.007442365235309008
hits_authority,7,503706,82.0,0.006831910423579287
hits_authority,8,463355,86.0,0.006750194531805146
hits_authority,9,398826,64.0,0.005689174169220471
hits_authority,10,181204,58.0,0.0033733753793684772
pagerank,1,548091,549.0,0.0003715074472785756
pagerank,2,458358,324.0,0.00014583826391880613
pagerank,3,222074,257.0,0.00013794536900852577
pagerank,4,45146,179.0,0.00011485736215182131
pagerank,5,291117,219.0,0.0001089378827080497
pagerank,6,515301,228.0,9.510209969799644e-05
pagerank,7,462504,151.0,9.122263230016091e-05
pagerank,8,296016,212.0,9.075510080571554e-05
pagerank,9,454004,196.0,8.774436484212837e-05
pagerank,10,199628,230.0,8.679443555254905e-05
personalized_pagerank,1,548091,549.0,0.0005921291696704593
personalized_pagerank,2,222074,257.0,0.00016996377762895298
personalized_pagerank,3,45146,179.0,0.00016758597931556266
personalized_pagerank,4,458358,324.0,0.00015057685565214216
personalized_pagerank,5,265965,118.0,0.00013176494437409843
personalized_pagerank,6,462504,151.0,0.00012434562912854236
personalized_pagerank,7,291117,219.0,0.00012325127294677112
personalized_pagerank,8,515301,228.0,9.759241357446711e-05
personalized_pagerank,9,296016,212.0,9.590876289523652e-05
personalized_pagerank,10,154855,136.0,9.021547443170893e-05
degree_normalized_pagerank,1,548091,549.0,0.0001268961879349204
degree_normalized_pagerank,2,265965,118.0,3.5415043111544315e-05
degree_normalized_pagerank,3,45146,179.0,3.0298009239136366e-05
degree_normalized_pagerank,4,502906,51.0,2.8064215701655184e-05
degree_normalized_pagerank,5,312527,91.0,2.1485595822577415e-05
degree_normalized_pagerank,6,425735,94.0,2.1259308432920725e-05
degree_normalized_pagerank,7,89000,97.0,2.0502181555676405e-05
degree_normalized_pagerank,8,462504,151.0,2.0351967594226105e-05
degree_normalized_pagerank,9,154855,136.0,2.0116245895926158e-05
degree_normalized_pagerank,10,222074,257.0,1.9617721018559126e-05
